site,SPAI,DISP,CHNA,ATTO,SAVE,ATCO,OTHER
LW1,,,,,45,,
LW2,12,,5,2,14,,
LW3,98,5,,8,1,,
BC1,5,,27,12,12,,18
BC2,,8,28,,,,2
BC3,1,17,24,14,,,20
BP1,16,,,14,20,,
BP2,,,17,21,,,
BP3,1,,6,,30,1,
BP4,,,,11,29,,1
TA3,17,,,11,4,,15
TA4,14,3,10,,,,2
TA5,2,,,,4,2,3
TA6,15,,11,14,,,
TAC,19,31,,39,,,32
TS1,4,,,88,,,
TS2,13,2,,2,,,34
TS3,19,32,,6,,,
TS4,27,11,6,16,46,,7
TSC,17,,1,,4,3,9
IO1,28,,20,5,,,32
IO2,,,,10,,,
IC1,,,19,17,,,15
IC2,4,,5,,,,2
SS1,,,,21,11,,1
SS2,,,,5,,,1
SS3,,,,49,,,1
SS4,,,,23,,,
BG2,,,,6,1,,5
BGC,1,4,22,16,,,
