soil,species,vwr_at_lai_max,period
sand,ATCO,5.6,july
silt,ATCO,5.6,july
sand,ATTO,9.3,july
silt,ATTO,9.3,july
sand,CHNA,18.6,july
silt,CHNA,18.6,july
sand,DISP,10.49,july
silt,DISP,20.0,july
sand,SAVE,17.2,july
silt,SAVE,17.2,july
sand,SPAI,9.59,july
silt,SPAI,16.48,july
sand,ATCO,10.5,oct
silt,ATCO,10.5,oct
sand,ATTO,17.4,oct
silt,ATTO,17.4,oct
sand,CHNA,34.3,oct
silt,CHNA,34.3,oct
sand,DISP,19.3,oct
silt,DISP,37.6,oct
sand,SAVE,30.3,oct
silt,SAVE,30.3,oct
sand,SPAI,17.6,oct
silt,SPAI,31.2,oct
sand,OTHER,,oct
silt,OTHER,,oct
sand,OTHER,,july
silt,OTHER,,july
